Town,LEDs,SmartStreetlights,SmartElecMeters,SmartThermostats,Smartgrid,Microgrid,Lat,Long
Bangor city,Y,N,N,N,NA,N,44.801884,-68.769412
Bar Harbor town,NA,NA,NA,NA,NA,NA,44.38759,-68.204231
Bowdoinham town,N,N,Y,N,N,N,44.009395,-69.89632
Fayette town,N,N,N,Y,N,N,44.40893,-70.033698
Gray town,Y,N,N,NA,NA,N,43.886123,-70.331752
Hallowell city,Y,Y,NA,N,N,N,44.286108,-69.792155
Lamoine town,Y,N,N,N,N,N,44.491357,-68.319406
Lewiston city,Y,N,N,Y,N,Y,44.100452,-70.214256
Madison town,NA,N,N,N,N,NA,44.797364,-69.876399
Minot town,NA,NA,NA,NA,NA,NA,44.157151,-70.346383
Portland city,Y,Y,Y,Y,N,N,43.659538,-70.254089
Rangeley town,N,N,Y,Y,NA,Y,44.966631,-70.643177
Readfield town,N,N,Y,Y,N,N,44.388076,-69.966738
Swans Island town,NA,NA,NA,NA,NA,NA,44.145517,-68.451795
Windham town,N,N,NA,NA,N,N,43.759492,-70.400748
