Town,Public wifi,Digital citizen services,Civic engagement apps,Open data portal,Lat,Long
Bangor city,NA,NA,NA,NA,44.801884,-68.769412
Bar Harbor town,Y,Y,N,N,44.38759,-68.204231
Bowdoinham town,Y,Y,N,N,44.009395,-69.89632
Fayette town,Y,Y,N,NA,44.40893,-70.033698
Gray town,Y,Y,N,NA,43.886123,-70.331752
Hallowell city,Y,Y,N,N,44.286108,-69.792155
Lamoine town,Y,Y,N,N,44.491357,-68.319406
Lewiston city,NA,NA,N,NA,44.100452,-70.214256
Madison town,N,N,N,N,44.797364,-69.876399
Minot town,N,Y,N,N,44.157151,-70.346383
Portland city,N,Y,Y,N,43.659538,-70.254089
Rangeley town,N,Y,N,N,44.966631,-70.643177
Readfield town,N,Y,Y,N,44.388076,-69.966738
Swans Island town,Y,N,N,NA,44.145517,-68.451795
Windham town,N,Y,Y,N,43.759492,-70.400748
