City/Town,Smart trash containers,Smart water meters in public facilities,Smart sewage sensors,Water level sensors,Lat,Long
Bangor city,NA,NA,NA,NA,44.801884,-68.769412
Bar Harbor town,NA,NA,NA,NA,44.38759,-68.204231
Bowdoinham town,N,N,N,N,44.009395,-69.89632
Fayette town,N,N,N,N,44.40893,-70.033698
Gray town,N,N,N,N,43.886123,-70.331752
Hallowell city,N,N,N,Y,44.286108,-69.792155
Lamoine town,N,N,N,N,44.491357,-68.319406
Lewiston city,N,Y,Y,NA,44.100452,-70.214256
Madison town,N,N,N,N,44.797364,-69.876399
Minot town,N,N,N,N,44.157151,-70.346383
Portland city,Y,N,NA,NA,43.659538,-70.254089
Rangeley town,N,N,N,N,44.966631,-70.643177
Readfield town,N,N,N,N,44.388076,-69.966738
Swans Island town,NA,NA,NA,NA,44.145517,-68.451795
Windham town,N,NA,N,N,43.759492,-70.400748
